Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2011,Jan,65.5,58.9,1999833,1798493,201340,10.1
2011,Feb,65.4,59,1998756,1801913,196843,9.8
2011,Mar,65.3,59,1997052,1803636,193416,9.7
2011,Apr,65.2,59,1995371,1803756,191615,9.6
2011,May,65.1,58.9,1994438,1802840,191598,9.6
2011,Jun,65.1,58.8,1994170,1801687,192483,9.7
2011,Jul,65,58.7,1994525,1801501,193024,9.7
2011,Aug,65,58.7,1995328,1802792,192536,9.6
2011,Sep,64.9,58.7,1995988,1805189,190799,9.6
2011,Oct,64.9,58.8,1996000,1807834,188166,9.4
2011,Nov,64.8,58.8,1994860,1809617,185243,9.3
2011,Dec,64.6,58.7,1992429,1809926,182503,9.2
2012,Jan,64.5,58.6,1988854,1808723,180131,9.1
2012,Feb,64.3,58.5,1984596,1806253,178343,9
2012,Mar,64.1,58.4,1980071,1802745,177326,9
2012,Apr,63.9,58.2,1975219,1798555,176664,8.9
2012,May,63.7,58,1970481,1794592,175889,8.9
2012,Jun,63.5,57.9,1966171,1791433,174738,8.9
2012,Jul,63.3,57.7,1962128,1789026,173102,8.8
2012,Aug,63.1,57.6,1958250,1786947,171303,8.7
2012,Sep,63,57.5,1954589,1784773,169816,8.7
2012,Oct,62.8,57.4,1950570,1782030,168540,8.6
2012,Nov,62.6,57.2,1945807,1778641,167166,8.6
2012,Dec,62.4,57,1940426,1775016,165410,8.5
2013,Jan,62.1,56.9,1934879,1771649,163230,8.4
2013,Feb,62,56.8,1929899,1769268,160631,8.3
2013,Mar,61.8,56.7,1926144,1768464,157680,8.2
2013,Apr,61.7,56.7,1924158,1769494,154664,8
2013,May,61.6,56.8,1923376,1771464,151912,7.9
2013,Jun,61.6,56.8,1923051,1773458,149593,7.8
2013,Jul,61.5,56.8,1922652,1775086,147566,7.7
2013,Aug,61.4,56.8,1921985,1776755,145230,7.6
2013,Sep,61.3,56.8,1921524,1778975,142549,7.4
2013,Oct,61.3,56.8,1922159,1781810,140349,7.3
2013,Nov,61.3,56.9,1924468,1785385,139083,7.2
2013,Dec,61.4,56.9,1928211,1789567,138644,7.2
2014,Jan,61.4,57,1932624,1794235,138389,7.2
2014,Feb,61.5,57.1,1936905,1799250,137655,7.1
2014,Mar,61.6,57.3,1940643,1804298,136345,7
2014,Apr,61.6,57.3,1943538,1808969,134569,6.9
2014,May,61.6,57.4,1945984,1813583,132401,6.8
2014,Jun,61.7,57.5,1948765,1818552,130213,6.7
2014,Jul,61.7,57.6,1951938,1823499,128439,6.6
2014,Aug,61.7,57.7,1955313,1828180,127133,6.5
2014,Sep,61.7,57.7,1958331,1832536,125795,6.4
2014,Oct,61.7,57.8,1960334,1836625,123709,6.3
2014,Nov,61.6,57.8,1960742,1840037,120705,6.2
2014,Dec,61.5,57.8,1960168,1842745,117423,6
2015,Jan,61.4,57.8,1959718,1845083,114635,5.8
2015,Feb,61.4,57.8,1960323,1847488,112835,5.8
2015,Mar,61.4,57.9,1962380,1850584,111796,5.7
2015,Apr,61.4,57.9,1965819,1854638,111181,5.7
2015,May,61.5,58,1970139,1859558,110581,5.6
2015,Jun,61.5,58.1,1974615,1865067,109548,5.5
2015,Jul,61.6,58.2,1979176,1871082,108094,5.5
2015,Aug,61.6,58.3,1983912,1877482,106430,5.4
2015,Sep,61.6,58.4,1989069,1884395,104674,5.3
2015,Oct,61.7,58.5,1995491,1892430,103061,5.2
2015,Nov,61.9,58.7,2003622,1901807,101815,5.1
2015,Dec,62,58.9,2012522,1911765,100757,5
2016,Jan,62.2,59.1,2020991,1921114,99877,4.9
2016,Feb,62.3,59.3,2028181,1928738,99443,4.9
2016,Mar,62.4,59.3,2033640,1934161,99479,4.9
2016,Apr,62.4,59.3,2037655,1937802,99853,4.9
2016,May,62.4,59.3,2040822,1940533,100289,4.9
2016,Jun,62.4,59.3,2043662,1943278,100384,4.9
2016,Jul,62.3,59.3,2046599,1946984,99615,4.9
2016,Aug,62.3,59.3,2049413,1951419,97994,4.8
2016,Sep,62.3,59.4,2051528,1955705,95823,4.7
2016,Oct,62.2,59.4,2052451,1959271,93180,4.5
2016,Nov,62.2,59.4,2052819,1962568,90251,4.4
2016,Dec,62.1,59.5,2053931,1966524,87407,4.3
2017,Jan,62.1,59.6,2056713,1971741,84972,4.1
2017,Feb,62.2,59.7,2061602,1978539,83063,4
2017,Mar,62.3,59.8,2068264,1986270,81994,4
2017,Apr,62.5,60,2075771,1993891,81880,3.9
2017,May,62.6,60.1,2082873,2000363,82510,4
2017,Jun,62.7,60.2,2088296,2004680,83616,4
2017,Jul,62.7,60.1,2091404,2006490,84914,4.1
2017,Aug,62.6,60.1,2092306,2006395,85911,4.1
2017,Sep,62.6,60,2091858,2005446,86412,4.1
2017,Oct,62.5,59.9,2090739,2004265,86474,4.1
